Accession_OD,Pvalue_OD
P36955,0.958747564
P36980,0.878891586
P37802,0.79670228
P37837,0.714729793
P37840,0.400645254
P39059,0.274224549
P39060,0.718035753
P39748,0.079407963
P40189,0.718035753
P40197,0.676362564
P40199,0.333249116
P40225,0.144422986
P40925,0.597769477
P40967,0.238155547
P41222,0.782546433
P41226,0.079407963
P41271,0.238155547
P41439,0.195763682
P42081,0.144422986
P42126,0.305571587
P42785,0.480909357
P43121,0.841713534
P43251,0.928028588
P43652,0.99457397
P45877,0.238155547
P46109,0.195763682
P46531,0.452320533
P47755,0.305571587
P47756,0.506000452
P47929,0.195763682
P48059,0.305571587
P48304,0.467104484
P48357,0.238155547
P48551,0.195763682
P48594,0.689010301
P48634,0.079407963
P48637,0.676362564
P48723,0.079407963
P48740,0.94548048
P48741,0.641865588
P48745,0.079407963
P49247,0.195763682
P49406,0.305571587
P49407,0.144422986
P49641,0.238155547
P49720,0.333249116
P49721,0.144422986
P49747,0.885694489
P49758,0.238155547
P49908,0.841713534
P49913,0.574708476
P50238,0.079407963
P50336,0.079407963
P50395,0.692989778
P50452,0.357988835
P50453,0.357988835
P50552,0.630424222
P50895,0.480909357
P51858,0.079407963
P51884,0.968038401
P52209,0.419266655
P52565,0.436427189
P52566,0.707861202
P52848,0.144422986
P52907,0.419266655
P53004,0.195763682
P53634,0.480909357
P54108,0.714729793
P54289,0.852923566
P54578,0.144422986
P54707,0.195763682
P54727,0.400645254
P54760,0.195763682
P54764,0.333249116
P54802,0.749675738
P54819,0.144422986
P54920,0.079407963
P55056,0.772625747
P55058,0.79670228
P55072,0.557501863
P55083,0.380321525
P55103,0.548255619
P55209,0.333249116
P55268,0.452320533
P55285,0.538530047
P55287,0.144422986
P55290,0.696859923
P55822,0.079407963
P55899,0.144422986
P56199,0.400645254
P56537,0.144422986
P58335,0.238155547
P58546,0.305571587
P59665,0.357988835
P59998,0.557501863
P60174,0.849363109
P60660,0.400645254
P60709,0.964697212
P60900,0.480909357
P60981,0.238155547
P61077,0.144422986
P61158,0.506000452
P61160,0.400645254
P61204,0.195763682
P61224,0.624385303
P61626,0.671890557
P61769,0.736275502
P61916,0.51745692
P61981,0.806150831
P62258,0.821362027
P62328,0.759411754
P62714,0.079407963
P62805,0.195763682
P62826,0.305571587
P62937,0.724407809
P62942,0.305571587
P62987,0.548255619
P62993,0.195763682
P63104,0.894179744
P63261,0.964501355
P63279,0.079407963
P67936,0.872607764
P68036,0.400645254
P68133,0.955278397
P68366,0.774683722
P68871,0.936402042
P69891,0.624385303
P69905,0.946838051
P78324,0.557501863
P78417,0.782546433
P78504,0.144422986
P78509,0.566307926
P78552,0.333249116
P80108,0.962793516
P80188,0.574708476
P80370,0.144422986
P80723,0.419266655
P81605,0.528280715
P98095,0.079407963
P98160,0.878891586
P98161,0.144422986
P98172,0.238155547
P99999,0.305571587
Q00610,0.274224549
Q00796,0.195763682
Q01082,0.079407963
Q01459,0.774683722
Q01469,0.538530047
Q01518,0.733411303
Q01814,0.195763682
Q01973,0.144422986
Q01995,0.079407963
Q02413,0.680702389
Q02487,0.467104484
Q02763,0.195763682
Q02818,0.274224549
Q02952,0.238155547
Q02985,0.826319119
Q03154,0.144422986
Q03167,0.333249116
Q03591,0.956239466
Q03701,0.079407963
Q04721,0.611601867
Q04756,0.905837651
Q04917,0.782546433
Q05639,0.195763682
Q05682,0.641865588
Q06033,0.974050855
Q06187,0.195763682
Q06323,0.195763682
Q06418,0.274224549
Q06481,0.079407963
Q06830,0.676362564
Q07075,0.689010301
Q07954,0.875194312
Q07960,0.305571587
Q08188,0.590413114
Q08257,0.144422986
Q08345,0.079407963
Q08380,0.853788258
Q08554,0.618116217
Q08830,0.467104484
Q08ET2,0.305571587
Q0VF96,0.079407963
Q0ZGT2,0.238155547
Q10471,0.400645254
Q10588,0.747111343
Q12765,0.195763682
Q12805,0.861922462
Q12830,0.079407963
Q12841,0.566307926
Q12860,0.834368108
Q12864,0.079407963
Q12866,0.400645254
Q12884,0.770528618
Q12907,0.493844038
Q12913,0.776703695
Q12931,0.195763682
Q13093,0.671890557
Q13103,0.724407809
Q13162,0.480909357
Q13201,0.574708476
Q13228,0.75218622
Q13231,0.467104484
Q13232,0.144422986
Q13275,0.079407963
Q13291,0.079407963
Q13308,0.419266655
Q13332,0.611601867
Q13404,0.144422986
Q13418,0.419266655
Q13421,0.195763682
Q13449,0.618116217
Q13508,0.452320533
Q13510,0.144422986
Q13586,0.079407963
Q13630,0.238155547
Q13642,0.195763682
Q13740,0.657611226
Q13790,0.582734353
Q13822,0.795036134
Q13835,0.333249116
Q13867,0.538530047
Q14002,0.195763682
Q14019,0.557501863
Q14112,0.305571587
Q14118,0.557501863
Q14126,0.667279604
Q14162,0.079407963
Q14165,0.079407963
Q14202,0.195763682
Q14210,0.144422986
Q14247,0.079407963
Q14314,0.274224549
Q14315,0.757052554
Q14508,0.144422986
Q14515,0.838645395
Q14520,0.91343956
Q14574,0.274224549
Q14624,0.996630389
Q14697,0.436427189
Q14766,0.641865588
Q14767,0.144422986
Q147U7,0.144422986
Q14847,0.419266655
Q14956,0.506000452
Q14982,0.274224549
Q15043,0.079407963
Q15063,0.749675738
Q15084,0.419266655
Q15113,0.739075362
Q15149,0.144422986
Q15166,0.806150831
Q15185,0.079407963
Q15223,0.195763682
Q15257,0.305571587
Q15262,0.333249116
Q15293,0.079407963
Q15375,0.079407963
Q15404,0.667279604
Q15465,0.144422986
Q15485,0.557501863
Q15517,0.144422986
Q15555,0.452320533
Q15582,0.859575672
Q15691,0.305571587
Q15746,0.144422986
Q15762,0.144422986
Q15819,0.195763682
Q15828,0.333249116
Q15833,0.079407963
Q15848,0.799953573
Q15942,0.538530047
Q16181,0.274224549
Q16270,0.590413114
Q16288,0.274224549
Q16394,0.357988835
Q16531,0.274224549
Q16610,0.955473546
Q16620,0.274224549
Q16627,0.238155547
Q16651,0.144422986
Q16706,0.667279604
Q16778,0.274224549
Q16832,0.079407963
Q16851,0.538530047
Q16853,0.75218622
Q16881,0.480909357
Q2KHM9,0.696859923
Q2M385,0.195763682
Q2TV78,0.847519241
Q32MZ4,0.144422986
Q3L8U1,0.079407963
Q3SYG4,0.238155547
Q3ZCW2,0.452320533
Q401N2,0.144422986
Q495M3,0.195763682
Q495W5,0.079407963
Q4G0Z9,0.079407963
Q4G148,0.079407963
Q4KMG0,0.238155547
Q4KWH8,0.238155547
Q562R1,0.901556361
Q58EX2,0.238155547
Q5D862,0.667279604
Q5JPE7,0.333249116
Q5SY68,0.305571587
Q5T013,0.823875216
Q5TFQ8,0.538530047
Q5VTT5,0.195763682
Q5VY43,0.357988835
Q5VZ46,0.079407963
Q5ZPR3,0.144422986
Q66K66,0.657611226
Q68DL7,0.357988835
Q6EMK4,0.811973303
Q6GTS8,0.333249116
Q6GTX8,0.144422986
Q6IBS0,0.452320533
Q6P179,0.667279604
Q6P387,0.274224549
Q6P4A8,0.079407963
Q6P4E1,0.079407963
Q6P9F7,0.557501863
Q6PI73,0.305571587
Q6UVK1,0.566307926
Q6UWP8,0.724407809
Q6UX71,0.770528618
Q6UXB8,0.892769699
Q6UXD5,0.144422986
Q6UXK5,0.333249116
Q6UXM1,0.305571587
Q6UY14,0.400645254
Q6V0I7,0.079407963
Q6VAB6,0.305571587
Q6XQN6,0.144422986
Q6YHK3,0.786270699
Q6ZMI3,0.274224549
Q6ZVX7,0.274224549
Q76LX8,0.80764016
Q7RTM1,0.079407963
Q7Z3B1,0.467104484
Q7Z5L0,0.079407963
Q7Z5N4,0.333249116
Q7Z7G0,0.754644588
Q7Z7M0,0.825105641
Q7Z7M8,0.419266655
Q7Z7M9,0.079407963
Q86SF2,0.195763682
Q86SQ4,0.480909357
Q86TH1,0.528280715
Q86TY3,0.144422986
Q86U17,0.641865588
Q86UD1,0.590413114
Q86UN3,0.548255619
Q86UP0,0.195763682
Q86UX7,0.859575672
Q86VB7,0.875194312
Q86VD1,0.079407963
Q86VQ0,0.079407963
Q86VQ6,0.079407963
Q86WI1,0.671890557
Q86YT9,0.274224549
Q86YZ3,0.866396254
Q8IUB2,0.467104484
Q8IUK5,0.333249116
Q8IUK8,0.274224549
Q8IUL8,0.400645254
Q8IVW4,0.144422986
Q8IW75,0.195763682
Q8IWE2,0.333249116
Q8IWL2,0.305571587
Q8IWR0,0.144422986
Q8IWV2,0.680702389
Q8IXB1,0.079407963
Q8IXL6,0.528280715
Q8IYS5,0.238155547
Q8IZA0,0.195763682
Q8IZF2,0.684916339
Q8IZP9,0.195763682
Q8N0W4,0.452320533
Q8N149,0.467104484
Q8N1Q1,0.238155547
Q8N3J6,0.079407963
Q8N3T6,0.238155547
Q8N423,0.305571587
Q8N5R6,0.357988835
Q8N6C8,0.700625565
Q8N8Z6,0.079407963
Q8NBJ4,0.574708476
Q8NBP7,0.724407809
Q8NBS9,0.467104484
Q8NCC3,0.400645254
Q8NCW5,0.195763682
Q8NCY6,0.274224549
Q8NDA2,0.079407963
Q8NFT8,0.238155547
Q8NFY4,0.144422986
Q8NFZ8,0.079407963
Q8NHL6,0.380321525
Q8NHP8,0.079407963
Q8TDQ0,0.144422986
Q8TDY8,0.333249116
Q8TE99,0.380321525
Q8TER0,0.419266655
Q8TEU8,0.079407963
Q8WVN6,0.079407963
Q8WVV4,0.079407963
Q8WWA1,0.195763682
Q8WWU5,0.079407963
Q8WWV6,0.195763682
Q8WWY7,0.195763682
Q8WWZ8,0.582734353
Q8WXX5,0.079407963
Q8WZ75,0.582734353
Q8WZA1,0.238155547
Q92484,0.467104484
Q92485,0.144422986
Q92496,0.51745692
Q92520,0.493844038
Q92597,0.305571587
Q92686,0.238155547
Q92692,0.144422986
Q92743,0.144422986
Q92820,0.894179744
Q92823,0.597769477
Q92854,0.144422986
Q92859,0.727480077
Q92876,0.144422986
Q92896,0.079407963
Q92954,0.905085183
Q92956,0.079407963
Q93063,0.400645254
Q93070,0.274224549
Q969H8,0.195763682
Q969T7,0.94347359
Q96AP7,0.238155547
Q96AQ7,0.333249116
Q96B86,0.144422986
Q96BZ4,0.305571587
Q96C23,0.144422986
Q96CN7,0.195763682
Q96D03,0.380321525
Q96DR8,0.079407963
Q96EE4,0.079407963
Q96EH3,0.079407963
Q96F07,0.574708476
Q96FE7,0.144422986
Q96FQ6,0.144422986
Q96FW1,0.144422986
Q96G03,0.274224549
Q96H15,0.144422986
Q96HC4,0.079407963
Q96HD1,0.333249116
Q96HE9,0.506000452
Q96IU4,0.144422986
Q96IY4,0.950689476
Q96J42,0.144422986
Q96JA1,0.079407963
Q96KG7,0.380321525
Q96KN2,0.945201576
Q96NZ9,0.238155547
Q96P31,0.274224549
Q96P63,0.480909357
Q96PD5,0.97204578
Q96QA5,0.144422986
Q96QU8,0.144422986
Q96RD9,0.357988835
Q96S53,0.079407963
Q96S96,0.727480077
Q99435,0.238155547
Q99436,0.079407963
Q99439,0.195763682
Q99460,0.079407963
Q99466,0.144422986
Q99497,0.611601867
Q99574,0.079407963
Q99650,0.557501863
Q99715,0.436427189
Q99733,0.195763682
Q99784,0.744491151
Q99969,0.538530047
Q99972,0.528280715
Q99983,0.333249116
Q9BQ51,0.333249116
Q9BQI7,0.195763682
Q9BQS7,0.274224549
Q9BR76,0.079407963
Q9BRA2,0.195763682
Q9BRF8,0.079407963
Q9BRK5,0.144422986
Q9BS26,0.238155547
Q9BS40,0.305571587
Q9BTY2,0.684916339
Q9BW61,0.357988835
Q9BWD1,0.238155547
Q9BWP8,0.647292285
Q9BXJ4,0.436427189
Q9BXR6,0.79670228
Q9BY67,0.566307926
Q9BYE9,0.467104484
Q9BYH1,0.195763682
Q9BYK8,0.195763682
Q9C0B1,0.436427189
Q9C0H9,0.144422986
Q9GZP4,0.195763682
Q9GZT8,0.195763682
Q9GZX5,0.333249116
Q9GZX9,0.144422986
Q9H0W9,0.144422986
Q9H0X4,0.357988835
Q9H1D0,0.079407963
Q9H1E1,0.079407963
Q9H1U4,0.467104484
Q9H254,0.548255619
Q9H299,0.590413114
Q9H3S4,0.195763682
Q9H3W5,0.079407963
Q9H4A9,0.689010301
Q9H4B7,0.741813184
Q9H4G4,0.419266655
Q9H6X2,0.305571587
Q9H8J5,0.195763682
Q9H8L6,0.333249116
Q9H939,0.079407963
Q9HAT2,0.333249116
Q9HBB8,0.493844038
Q9HBI1,0.707861202
Q9HBR0,0.380321525
Q9HBW1,0.238155547
Q9HBW9,0.333249116
Q9HBX8,0.144422986
Q9HC38,0.400645254
Q9HC56,0.238155547
Q9HC84,0.195763682
Q9HCB6,0.400645254
Q9HCL0,0.357988835
Q9HCN6,0.274224549
Q9HCU0,0.452320533
Q9HDC9,0.630424222
Q9NNX6,0.144422986
Q9NP58,0.195763682
Q9NP78,0.467104484
Q9NPG4,0.238155547
Q9NPH3,0.856324144
Q9NPR2,0.436427189
Q9NPY3,0.680702389
Q9NQ38,0.400645254
Q9NQ79,0.806150831
Q9NQQ7,0.144422986
Q9NQS3,0.079407963
Q9NR71,0.238155547
Q9NRN5,0.079407963
Q9NS62,0.079407963
Q9NSC7,0.238155547
Q9NTN9,0.079407963
Q9NTU7,0.467104484
Q9NU22,0.079407963
Q9NUQ2,0.079407963
Q9NUQ6,0.667279604
Q9NUQ9,0.144422986
Q9NY15,0.305571587
Q9NY33,0.528280715
Q9NY47,0.357988835
Q9NY65,0.676362564
Q9NY97,0.51745692
Q9NYH9,0.144422986
Q9NZ08,0.662522434
Q9NZH8,0.274224549
Q9NZK5,0.766212045
Q9NZN3,0.436427189
Q9NZP8,0.915319523
Q9NZT1,0.467104484
Q9P121,0.333249116
Q9P232,0.754644588
Q9P2Y5,0.274224549
Q9UBG0,0.647292285
Q9UBP4,0.480909357
Q9UBQ6,0.538530047
Q9UBR2,0.63624677
Q9UBW5,0.538530047
Q9UBX1,0.419266655
Q9UBX5,0.195763682
Q9UEW3,0.357988835
Q9UGM3,0.144422986
Q9UGM5,0.869227027
Q9UGN4,0.144422986
Q9UGT4,0.195763682
Q9UHB6,0.079407963
Q9UHG3,0.80310139
Q9UHJ6,0.144422986
Q9UHL4,0.238155547
Q9UI42,0.333249116
Q9UIB8,0.419266655
Q9UJ14,0.333249116
Q9UJA9,0.144422986
Q9UJC5,0.144422986
Q9UJJ9,0.557501863
Q9UJU6,0.144422986
Q9UK23,0.452320533
Q9UK55,0.890339663
Q9UKJ1,0.195763682
Q9UKU6,0.528280715
Q9UKY3,0.195763682
Q9ULC0,0.144422986
Q9ULI3,0.676362564
Q9ULV4,0.652537546
Q9UM47,0.305571587
Q9UMX5,0.305571587
Q9UN70,0.079407963
Q9UNN8,0.707861202
Q9UNW1,0.711339462
Q9UNZ2,0.079407963
Q9UQ52,0.305571587
Q9UQP3,0.380321525
Q9UQV4,0.144422986
Q9Y274,0.274224549
Q9Y275,0.144422986
Q9Y279,0.419266655
Q9Y2B0,0.144422986
Q9Y2E5,0.305571587
Q9Y2P5,0.305571587
Q9Y2X7,0.144422986
Q9Y3B8,0.079407963
Q9Y490,0.955667211
Q9Y4C0,0.079407963
Q9Y4D7,0.305571587
Q9Y4F1,0.274224549
Q9Y4L1,0.689010301
Q9Y520,0.079407963
Q9Y547,0.144422986
Q9Y5C1,0.707861202
Q9Y5F6,0.195763682
Q9Y5Y7,0.831010659
Q9Y5Z4,0.238155547
Q9Y646,0.480909357
Q9Y696,0.333249116
Q9Y6E2,0.079407963
Q9Y6N7,0.436427189
Q9Y6R7,0.947364434
Q9Y6Z7,0.538530047
O14523,0.079407963
O60941,0.079407963
P01762,0.877069398
P02533,0.938183037
P02538,0.903935347
P04259,0.91407467
P04264,0.980376514
P04279,0.806150831
P07288,0.144422986
P07327,0.506000452
P08263,0.238155547
P08319,0.144422986
P08779,0.935476692
P0DMU7,0.079407963
P13645,0.97187052
P13646,0.840703619
P13647,0.925435461
P13929,0.380321525
P19012,0.870599703
P19013,0.684916339
P21817,0.305571587
P35527,0.971333364
P35609,0.858776209
P35908,0.970253623
P51689,0.195763682
P58166,0.195763682
P59190,0.274224549
P68363,0.799953573
P78386,0.144422986
Q02383,0.847519241
Q04695,0.876450362
Q12986,0.079407963
Q16777,0.144422986
Q4LDE5,0.357988835
Q5JXB2,0.195763682
Q5T749,0.274224549
Q6EEV6,0.079407963
Q6IS14,0.400645254
Q6KB66,0.357988835
Q6NUJ1,0.079407963
Q6ZN84,0.079407963
Q6ZNG0,0.305571587
Q7L2R6,0.238155547
Q7L7V1,0.195763682
Q7RTS7,0.704291239
Q7Z794,0.866396254
Q86X29,0.079407963
Q8IZP2,0.144422986
Q8N1N4,0.657611226
Q8NI99,0.305571587
Q8TDD5,0.079407963
Q96AC6,0.079407963
Q96DA0,0.195763682
Q99941,0.144422986
Q9BTV5,0.079407963
Q9BUN1,0.195763682
Q9BY27,0.195763682
Q9H2M3,0.079407963
Q9H497,0.079407963
Q9H853,0.611601867
Q9NSB2,0.604825693
Q9P281,0.195763682
Q9P2D8,0.079407963
